rented,email,availability,a,city,community,latitude,longitude,type,price,beds,sq_feet,baths,cats,dogs,sq_feet2,price2,beds2,baths2,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet
Not-Rented,True,May 01,2022-05-01,Calgary,Downtown,51.0436825,-114.0650951,Apartment,995,studio,425,1,2,0,695,0,1,0,1,1,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Victoria Park,51.0391359,-114.0638302,Apartment,900,1,500,1,2,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Connaught,51.038102,-114.076197,Apartment,910,1,330,1,2,0,0,0,0,0,1,1,0,0,1
Not-Rented,True,May 01,2022-05-01,Calgary,Beltline,51.0393198,-114.0777421,Apartment,875,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Mission,51.0292343,-114.0649091,Apartment,989,studio,430,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Eau Claire,51.0495547,-114.0793639,Apartment,960,studio,500,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Altadore,51.0168322,-114.1007796,Apartment,1000,1,500,1,0,0,0,0,0,0,1,1,1,0,1
Not-Rented,True,May 01,2022-05-01,Calgary,Beltline,51.039594,-114.077181,Apartment,825,studio,,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Crescent Heights,51.0659097,-114.0601842,Apartment,950,1,520,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Bankview,51.0317966,-114.0974172,Apartment,850,1,500,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,False,May 01,2022-05-01,Calgary,Renfrew,51.0590298,-114.0524545,Apartment,690,1,,1,0,0,800,990,2,0,1,0,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,South Calgary,51.0302755,-114.1092715,Apartment,800,studio,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Crescent Heights,51.0541659,-114.0565049,Apartment,895,1,650+,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Mission,51.0367603,-114.0730631,Apartment,995,1,500,1,0,0,0,0,0,0,1,0,1,0,0
